"SurveyResponseID","AnswerNumber","TravelledWith"
3582244,43,"My husband, wife or partner"
3582567,38,"My husband, wife or partner"
3582593,45,"Child/children aged under 15"
3582567,39,"Child/children aged under 15"
3582311,46,"Other person(s)"
3582607,40,"Other person(s)"
3582253,39,"Other person(s)"
3582582,42,"Other family / relative(s)"
3582320,41,"Child/children aged 15 or older"
3582609,41,"Other family / relative(s)"
3582606,40,"My husband, wife or partner"
3582251,39,"My husband, wife or partner"
3582262,42,"Child/children aged under 15"
3582581,41,"My husband, wife or partner"
3582318,39,"My husband, wife or partner"
3582608,41,"My husband, wife or partner"
3582260,43,"My husband, wife or partner"
3582262,41,"My husband, wife or partner"
3582623,49,"My husband, wife or partner"
3582269,39,"My husband, wife or partner"
3582584,41,"Other family / relative(s)"
3582271,40,"Other family / relative(s)"
3582278,40,"Other family / relative(s)"
3582601,37,"Child/children aged 15 or older"
3582327,41,"My husband, wife or partner"
3582624,67,"My husband, wife or partner"
3582598,42,"My husband, wife or partner"
3582334,41,"My husband, wife or partner"
3582600,42,"My husband, wife or partner"
3582338,47,"My husband, wife or partner"
3582639,45,"My husband, wife or partner"
3582287,39,"Child/children aged 15 or older"
3582287,40,"Other family / relative(s)"
3582294,39,"Other family / relative(s)"
3582640,47,"My husband, wife or partner"
3582343,38,"My husband, wife or partner"
3582615,37,"My husband, wife or partner"
3582294,38,"My husband, wife or partner"
3582616,42,"Child/children aged under 15"
3582345,38,"My husband, wife or partner"
3582641,38,"My husband, wife or partner"
3582352,39,"Other person(s)"
3582617,40,"Other person(s)"
3582643,37,"Other person(s)"
3582616,41,"My husband, wife or partner"
3582354,43,"Other person(s)"
3582296,43,"My husband, wife or partner"
3582618,38,"Other family / relative(s)"
3582642,39,"My husband, wife or partner"
3582656,41,"My husband, wife or partner"
3582361,37,"My husband, wife or partner"
3582301,41,"My husband, wife or partner"
3582673,51,"My husband, wife or partner"
3582368,43,"My husband, wife or partner"
3582632,38,"My husband, wife or partner"
3582675,43,"My husband, wife or partner"
3582676,41,"My husband, wife or partner"
3582634,41,"My husband, wife or partner"
3582363,39,"Other family / relative(s)"
3582631,48,"Child/children aged 15 or older"
3582633,50,"Other person(s)"
3582312,43,"My husband, wife or partner"
3582648,39,"My husband, wife or partner"
3582691,47,"My husband, wife or partner"
3582321,44,"My husband, wife or partner"
3582651,41,"My husband, wife or partner"
3582665,40,"My husband, wife or partner"
3582388,42,"Child/children aged under 15"
3582693,51,"My husband, wife or partner"
3582370,39,"Other family / relative(s)"
3582335,44,"My husband, wife or partner"
3582649,40,"Other person(s)"
3582388,41,"My husband, wife or partner"
3582319,43,"Other person(s)"
3582706,39,"My husband, wife or partner"
3582386,44,"Other person(s)"
3582337,38,"My husband, wife or partner"
3582393,44,"My husband, wife or partner"
3582344,44,"My husband, wife or partner"
3582668,43,"My husband, wife or partner"
3582708,58,"My husband, wife or partner"
3582395,42,"My husband, wife or partner"
3582668,44,"Child/children aged under 15"
3582666,37,"Other family / relative(s)"
3582667,47,"Other person(s)"
3582681,39,"My husband, wife or partner"
3582709,43,"Other family / relative(s)"
3582709,44,"Other person(s)"
3582402,40,"Other person(s)"
3582682,49,"Other person(s)"
3582353,41,"My husband, wife or partner"
3582404,39,"My husband, wife or partner"
3582724,46,"My husband, wife or partner"
3582725,54,"My husband, wife or partner"
3582411,47,"My husband, wife or partner"
3582726,47,"My husband, wife or partner"
3582726,48,"Child/children aged under 15"
3582684,38,"My husband, wife or partner"
3582413,43,"My husband, wife or partner"
3582710,40,"Other family / relative(s)"
3582404,40,"Child/children aged 15 or older"
3582683,44,"Other family / relative(s)"
3582362,38,"Child/children aged 15 or older"
3582371,51,"Other person(s)"
3582698,44,"Child/children aged 15 or older"
3582418,40,"Other family / relative(s)"
3582699,48,"Other person(s)"
3582376,38,"Child/children aged 15 or older"
3582401,41,"Other family / relative(s)"
3582436,46,"Child/children aged 15 or older"
3582716,40,"Other person(s)"
3582699,47,"My husband, wife or partner"
3582420,38,"My husband, wife or partner"
3582700,44,"My husband, wife or partner"
3582741,93,"My husband, wife or partner"
3582405,39,"My husband, wife or partner"
3582438,37,"My husband, wife or partner"
3583057,46,"My husband, wife or partner"
3582717,43,"My husband, wife or partner"
3582410,39,"My husband, wife or partner"
3582718,45,"My husband, wife or partner"
3582443,38,"Child/children aged 15 or older"
3582732,38,"Other family / relative(s)"
3583058,43,"Other person(s)"
3582452,39,"Other family / relative(s)"
3583059,47,"Other person(s)"
3582443,37,"My husband, wife or partner"
3582412,41,"My husband, wife or partner"
3582731,57,"My husband, wife or partner"
3582445,57,"My husband, wife or partner"
3583058,42,"My husband, wife or partner"
3582419,44,"My husband, wife or partner"
3582733,70,"My husband, wife or partner"
3582734,43,"My husband, wife or partner"
3582454,46,"My husband, wife or partner"
3582426,41,"My husband, wife or partner"
3582735,41,"My husband, wife or partner"
3583074,43,"My husband, wife or partner"
3583075,40,"My husband, wife or partner"
3582749,38,"My husband, wife or partner"
3582428,41,"My husband, wife or partner"
3583076,44,"My husband, wife or partner"
3582463,53,"My husband, wife or partner"
3582435,49,"My husband, wife or partner"
3582437,45,"My husband, wife or partner"
3582421,42,"Other family / relative(s)"
3582735,42,"Child/children aged 15 or older"
3582735,43,"Other person(s)"
3582461,42,"Other family / relative(s)"
3582750,41,"Other family / relative(s)"
3583076,45,"Other family / relative(s)"
3583077,37,"My husband, wife or partner"
3583077,38,"Child/children aged under 15"
3582444,47,"My husband, wife or partner"
3582468,41,"Other family / relative(s)"
3583091,45,"My husband, wife or partner"
3583051,49,"My husband, wife or partner"
3583092,44,"My husband, wife or partner"
3582470,38,"Child/children aged 15 or older"
3583049,51,"Other person(s)"
3583050,38,"Other person(s)"
3582446,38,"Other family / relative(s)"
3583093,39,"Other family / relative(s)"
3582479,45,"My husband, wife or partner"
3582451,41,"My husband, wife or partner"
3582451,42,"Child/children aged under 15"
3583094,41,"Other person(s)"
3583107,56,"Other person(s)"
3583066,43,"Other person(s)"
3582493,38,"Other family / relative(s)"
3582460,38,"Other person(s)"
3583068,56,"Other person(s)"
3583111,39,"Other person(s)"
3582462,54,"Other person(s)"
3583052,45,"My husband, wife or partner"
3583107,55,"My husband, wife or partner"
3582453,38,"My husband, wife or partner"
3582455,51,"My husband, wife or partner"
3582488,38,"My husband, wife or partner"
3582455,52,"Child/children aged under 15"
3583109,38,"My husband, wife or partner"
3583069,49,"My husband, wife or partner"
3583124,37,"Other family / relative(s)"
3582513,38,"Other person(s)"
3582518,38,"Other person(s)"
3582504,39,"My husband, wife or partner"
3583125,56,"My husband, wife or partner"
3583082,38,"My husband, wife or partner"
3582469,39,"My husband, wife or partner"
3582471,45,"My husband, wife or partner"
3582471,47,"Other person(s)"
3582520,38,"Child/children aged under 15"
3583083,45,"My husband, wife or partner"
3582522,39,"Other person(s)"
3582471,46,"Child/children aged under 15"
3583086,45,"Other family / relative(s)"
3583141,39,"Child/children aged under 15"
3583126,47,"My husband, wife or partner"
3582522,38,"My husband, wife or partner"
3582529,48,"My husband, wife or partner"
3582478,42,"My husband, wife or partner"
3583144,42,"My husband, wife or partner"
3582536,39,"My husband, wife or partner"
3583099,38,"My husband, wife or partner"
3582487,42,"My husband, wife or partner"
3583159,39,"My husband, wife or partner"
3582543,38,"Child/children aged under 15"
3583160,42,"My husband, wife or partner"
3583100,38,"Other person(s)"
3582496,39,"Other family / relative(s)"
3582505,37,"My husband, wife or partner"
3583101,39,"Other person(s)"
3582510,42,"My husband, wife or partner"
3583102,39,"Other person(s)"
3583161,45,"My husband, wife or partner"
3582543,37,"My husband, wife or partner"
3583174,46,"My husband, wife or partner"
3582510,43,"Other person(s)"
3582543,39,"Other person(s)"
3583116,37,"Other person(s)"
3583175,38,"Other person(s)"
3583117,43,"Other family / relative(s)"
3583176,38,"Other family / relative(s)"
3583177,42,"My husband, wife or partner"
3582545,45,"My husband, wife or partner"
3583191,38,"My husband, wife or partner"
3583119,46,"My husband, wife or partner"
3582554,38,"My husband, wife or partner"
3583118,47,"Other person(s)"
3582512,44,"Other person(s)"
3582521,38,"Other person(s)"
3583192,45,"Other person(s)"
3583133,37,"Other person(s)"
3582530,68,"Other family / relative(s)"
3582561,40,"My husband, wife or partner"
3582528,63,"My husband, wife or partner"
3583193,39,"My husband, wife or partner"
3583194,38,"My husband, wife or partner"
3582563,40,"My husband, wife or partner"
3582570,41,"My husband, wife or partner"
3582537,42,"My husband, wife or partner"
3582563,41,"Other person(s)"
3583208,38,"Other family / relative(s)"
3583135,40,"Other family / relative(s)"
3582537,43,"Other person(s)"
3583211,38,"Child/children aged 15 or older"
3582544,41,"Other family / relative(s)"
3583136,39,"My husband, wife or partner"
3582544,40,"Child/children aged under 15"
3583149,39,"Other family / relative(s)"
3583225,51,"Other family / relative(s)"
3583151,49,"Other family / relative(s)"
3583225,52,"Other person(s)"
3583226,64,"Other person(s)"
3583152,38,"Other person(s)"
3582544,39,"My husband, wife or partner"
3583224,48,"My husband, wife or partner"
3582577,45,"My husband, wife or partner"
3582546,39,"My husband, wife or partner"
3582586,38,"My husband, wife or partner"
3583227,38,"My husband, wife or partner"
3582588,46,"Child/children aged under 15"
3582579,45,"Other person(s)"
3582586,39,"Other family / relative(s)"
3583166,38,"Other person(s)"
3582560,40,"Other family / relative(s)"
3583228,48,"My husband, wife or partner"
3582562,37,"Other family / relative(s)"
3582588,45,"My husband, wife or partner"
3582588,47,"Other family / relative(s)"
3582578,37,"Child/children aged under 15"
3583167,63,"My husband, wife or partner"
3582569,85,"Other person(s)"
3582597,42,"Other family / relative(s)"
3583169,38,"Child/children aged 15 or older"
3583169,39,"Other family / relative(s)"
3583242,40,"My husband, wife or partner"
3583168,58,"My husband, wife or partner"
3582571,41,"My husband, wife or partner"
3583258,48,"My husband, wife or partner"
3582602,43,"My husband, wife or partner"
3583183,48,"My husband, wife or partner"
3583260,43,"My husband, wife or partner"
3582585,46,"My husband, wife or partner"
3583184,40,"My husband, wife or partner"
3582613,39,"My husband, wife or partner"
3583183,49,"Other person(s)"
3582611,40,"Other family / relative(s)"
3582585,47,"Child/children aged 15 or older"
3583185,45,"Child/children aged 15 or older"
3583200,45,"Other family / relative(s)"
3582622,41,"Other family / relative(s)"
3583291,38,"Other family / relative(s)"
3583277,38,"My husband, wife or partner"
3582620,41,"My husband, wife or partner"
3582587,47,"My husband, wife or partner"
3583278,46,"My husband, wife or partner"
3582622,40,"My husband, wife or partner"
3583292,38,"My husband, wife or partner"
3582627,41,"My husband, wife or partner"
3583203,38,"My husband, wife or partner"
3583203,39,"Child/children aged under 15"
3583293,41,"Other family / relative(s)"
3583216,61,"Other family / relative(s)"
3582603,43,"Other person(s)"
3583294,41,"Other person(s)"
3582647,50,"Other family / relative(s)"
3582603,42,"My husband, wife or partner"
3582638,53,"My husband, wife or partner"
3583217,42,"My husband, wife or partner"
3583218,38,"My husband, wife or partner"
3582610,42,"My husband, wife or partner"
3583310,41,"My husband, wife or partner"
3583309,39,"Child/children aged under 15"
3583234,57,"My husband, wife or partner"
3583325,44,"My husband, wife or partner"
3583308,40,"Other family / relative(s)"
3582605,48,"Other family / relative(s)"
3583233,38,"Child/children aged 15 or older"
3583309,40,"Child/children aged 15 or older"
3583311,39,"Other person(s)"
3582612,42,"Other person(s)"
3582654,40,"My husband, wife or partner"
3582661,44,"My husband, wife or partner"
3582621,40,"My husband, wife or partner"
3582628,48,"My husband, wife or partner"
3582663,41,"My husband, wife or partner"
3583251,43,"My husband, wife or partner"
3583327,39,"Child/children aged under 15"
3583328,39,"My husband, wife or partner"
3582630,50,"My husband, wife or partner"
3582670,44,"My husband, wife or partner"
3582672,47,"My husband, wife or partner"
3583266,41,"My husband, wife or partner"
3583325,45,"Child/children aged 15 or older"
3583249,42,"Child/children aged 15 or older"
3583327,40,"Child/children aged 15 or older"
3582646,45,"My husband, wife or partner"
3582679,53,"My husband, wife or partner"
3582653,40,"My husband, wife or partner"
3583342,39,"My husband, wife or partner"
3583269,42,"My husband, wife or partner"
3583268,41,"Child/children aged under 15"
3582653,41,"Child/children aged under 15"
3583251,44,"Other family / relative(s)"
3583328,40,"Other family / relative(s)"
3583252,42,"Other family / relative(s)"
3582677,47,"Other person(s)"
3582679,54,"Other family / relative(s)"
3582679,55,"Other person(s)"
3582686,42,"My husband, wife or partner"
3583343,38,"My husband, wife or partner"
3582655,39,"Other family / relative(s)"
3583284,48,"My husband, wife or partner"
3583283,41,"Child/children aged 15 or older"
3583343,39,"Child/children aged 15 or older"
3582688,38,"My husband, wife or partner"
3583283,42,"Other family / relative(s)"
3582660,39,"Other family / relative(s)"
3583345,40,"Other family / relative(s)"
3582695,54,"My husband, wife or partner"
3583300,39,"My husband, wife or partner"
3583302,44,"My husband, wife or partner"
3582697,39,"My husband, wife or partner"
3582662,38,"Other person(s)"
3583286,41,"Other family / relative(s)"
3583301,38,"Other family / relative(s)"
3582669,38,"Other family / relative(s)"
3582697,40,"Child/children aged 15 or older"
3583360,38,"Child/children aged 15 or older"
3582671,49,"My husband, wife or partner"
3582702,47,"My husband, wife or partner"
3583375,40,"My husband, wife or partner"
3582704,43,"My husband, wife or partner"
3583316,41,"Other family / relative(s)"
3583316,42,"Other person(s)"
3582702,48,"Other person(s)"
3582678,43,"Other family / relative(s)"
3582713,41,"Child/children aged under 15"
3582678,44,"Other person(s)"
3582713,40,"My husband, wife or partner"
3583376,38,"Other family / relative(s)"
3583377,38,"My husband, wife or partner"
3583319,45,"My husband, wife or partner"
3583318,38,"Child/children aged 15 or older"
3583378,40,"My husband, wife or partner"
3582680,50,"Other person(s)"
3583393,42,"Child/children aged under 15"
3582713,42,"Other family / relative(s)"
3583333,39,"Other family / relative(s)"
3582687,39,"Child/children aged 15 or older"
3583320,39,"My husband, wife or partner"
3583333,38,"My husband, wife or partner"
3583393,41,"My husband, wife or partner"
3582687,38,"My husband, wife or partner"
3582720,46,"My husband, wife or partner"
3582689,40,"My husband, wife or partner"
3583394,60,"My husband, wife or partner"
3583334,41,"Other person(s)"
3582694,50,"Other family / relative(s)"
3583410,37,"Other person(s)"
3582727,50,"Other person(s)"
3582729,42,"Other family / relative(s)"
3583351,37,"Other person(s)"
3583425,39,"Other person(s)"
3582722,53,"My husband, wife or partner"
3583336,43,"My husband, wife or partner"
3582694,49,"My husband, wife or partner"
3583350,41,"My husband, wife or partner"
3582696,46,"My husband, wife or partner"
3583353,43,"My husband, wife or partner"
3583427,39,"My husband, wife or partner"
3582703,47,"My husband, wife or partner"
3583366,41,"Other family / relative(s)"
3583442,40,"Other family / relative(s)"
3582738,45,"Other family / relative(s)"
3582745,38,"Child/children aged 15 or older"
3583444,49,"Other family / relative(s)"
3583370,41,"Child/children aged 15 or older"
3582745,39,"Other family / relative(s)"
3582738,44,"Child/children aged under 15"
3582745,40,"Other person(s)"
3583428,42,"My husband, wife or partner"
3582705,39,"My husband, wife or partner"
3582712,40,"My husband, wife or partner"
3583368,38,"My husband, wife or partner"
3582712,41,"Other person(s)"
3582747,40,"My husband, wife or partner"
3583445,43,"Other person(s)"
3582714,39,"Other family / relative(s)"
3582754,38,"Other family / relative(s)"
3583383,38,"My husband, wife or partner"
3583458,40,"My husband, wife or partner"
3583459,40,"My husband, wife or partner"
3583460,39,"My husband, wife or partner"
3583384,42,"My husband, wife or partner"
3583461,39,"My husband, wife or partner"
3583459,41,"Child/children aged under 15"
3582719,38,"Child/children aged under 15"
3583045,40,"Other family / relative(s)"
3583462,51,"Child/children aged 15 or older"
3583401,38,"Other person(s)"
3583476,48,"Other person(s)"
3583462,50,"My husband, wife or partner"
3583386,42,"My husband, wife or partner"
3582721,72,"My husband, wife or partner"
3583400,41,"My husband, wife or partner"
3583475,43,"My husband, wife or partner"
3583061,43,"My husband, wife or partner"
3583477,41,"Child/children aged under 15"
3582737,51,"Other person(s)"
3583063,43,"Other person(s)"
3583403,37,"My husband, wife or partner"
3583477,40,"My husband, wife or partner"
3583417,38,"My husband, wife or partner"
3583063,42,"My husband, wife or partner"
3583418,38,"My husband, wife or partner"
3583492,40,"My husband, wife or partner"
3583065,40,"My husband, wife or partner"
3583419,41,"Child/children aged under 15"
3583419,42,"Child/children aged 15 or older"
3583070,44,"Other family / relative(s)"
3583434,39,"Other family / relative(s)"
3583493,38,"My husband, wife or partner"
3582744,46,"My husband, wife or partner"
3583433,46,"My husband, wife or partner"
3583072,49,"My husband, wife or partner"
3582746,43,"My husband, wife or partner"
3583079,40,"My husband, wife or partner"
3583495,47,"My husband, wife or partner"
3582753,40,"My husband, wife or partner"
3582755,38,"My husband, wife or partner"
3583509,46,"My husband, wife or partner"
3583435,45,"Other family / relative(s)"
3583510,45,"Child/children aged 15 or older"
3583512,47,"Child/children aged under 15"
3583435,44,"My husband, wife or partner"
3583090,41,"My husband, wife or partner"
3583510,44,"My husband, wife or partner"
3583436,52,"My husband, wife or partner"
3583106,62,"My husband, wife or partner"
3583512,46,"My husband, wife or partner"
3583048,38,"My husband, wife or partner"
3583525,39,"My husband, wife or partner"
3583113,38,"My husband, wife or partner"
3583437,43,"My husband, wife or partner"
3583437,44,"Child/children aged under 15"
3583437,45,"Other family / relative(s)"
3583053,44,"Other person(s)"
3583055,38,"Child/children aged 15 or older"
3583527,47,"Other person(s)"
3583451,41,"Other person(s)"
3583064,46,"Other person(s)"
3583131,39,"Other family / relative(s)"
3583453,40,"Other family / relative(s)"
3583526,51,"My husband, wife or partner"
3583450,47,"My husband, wife or partner"
3583122,52,"My husband, wife or partner"
3583071,45,"Child/children aged 15 or older"
3583145,58,"Other family / relative(s)"
3583062,43,"My husband, wife or partner"
3583452,41,"My husband, wife or partner"
3583528,41,"My husband, wife or partner"
3583542,41,"My husband, wife or partner"
3583071,44,"My husband, wife or partner"
3583543,42,"My husband, wife or partner"
3583528,42,"Child/children aged under 15"
3583467,38,"Child/children aged under 15"
3583543,43,"Child/children aged under 15"
3583154,39,"Other person(s)"
3583468,43,"Child/children aged under 15"
3583468,42,"My husband, wife or partner"
3583544,45,"My husband, wife or partner"
3583469,57,"My husband, wife or partner"
3583073,42,"My husband, wife or partner"
3583156,43,"My husband, wife or partner"
3583078,37,"My husband, wife or partner"
3583470,51,"My husband, wife or partner"
3583163,39,"Child/children aged 15 or older"
3583080,44,"Other person(s)"
3583484,48,"Other family / relative(s)"
3583545,50,"Other family / relative(s)"
3583483,48,"My husband, wife or partner"
3583080,43,"My husband, wife or partner"
3583545,48,"My husband, wife or partner"
3583170,43,"My husband, wife or partner"
3583545,49,"Child/children aged under 15"
3583089,40,"Child/children aged 15 or older"
3583096,42,"Other person(s)"
3583562,41,"Other family / relative(s)"
3583559,41,"My husband, wife or partner"
3583486,49,"My husband, wife or partner"
3583560,39,"My husband, wife or partner"
3583172,56,"My husband, wife or partner"
3583561,44,"My husband, wife or partner"
3583487,41,"My husband, wife or partner"
3583500,44,"My husband, wife or partner"
3583575,42,"Child/children aged 15 or older"
3583576,40,"Other person(s)"
3583179,44,"Other family / relative(s)"
3583577,52,"Child/children aged 15 or older"
3583577,53,"Other family / relative(s)"
3583188,44,"Child/children aged 15 or older"
3583578,51,"Other family / relative(s)"
3583188,43,"Child/children aged under 15"
3583098,37,"My husband, wife or partner"
3583577,51,"My husband, wife or partner"
3583501,63,"My husband, wife or partner"
3583502,39,"My husband, wife or partner"
3583188,42,"My husband, wife or partner"
3583578,50,"My husband, wife or partner"
3583105,63,"My husband, wife or partner"
3583503,48,"My husband, wife or partner"
3583190,48,"My husband, wife or partner"
3583195,39,"My husband, wife or partner"
3583112,41,"My husband, wife or partner"
3583517,39,"My husband, wife or partner"
3583121,37,"Other person(s)"
3583593,40,"My husband, wife or partner"
3583518,53,"My husband, wife or partner"
3583197,40,"My husband, wife or partner"
3583595,47,"My husband, wife or partner"
3583519,44,"My husband, wife or partner"
3583204,49,"My husband, wife or partner"
3583519,45,"Child/children aged under 15"
3583520,43,"My husband, wife or partner"
3583534,53,"Child/children aged under 15"
3583520,44,"Other family / relative(s)"
3583610,40,"Other family / relative(s)"
3583534,54,"Other family / relative(s)"
3583123,43,"Other person(s)"
3583215,48,"Other person(s)"
3583609,45,"My husband, wife or partner"
3583123,42,"My husband, wife or partner"
3583534,52,"My husband, wife or partner"
3583535,47,"My husband, wife or partner"
3583128,60,"My husband, wife or partner"
3583536,42,"My husband, wife or partner"
3583537,44,"My husband, wife or partner"
3583220,43,"My husband, wife or partner"
3583536,43,"Child/children aged under 15"
3583550,40,"My husband, wife or partner"
3583611,48,"Other person(s)"
3583551,44,"My husband, wife or partner"
3583222,51,"My husband, wife or partner"
3583612,45,"Other family / relative(s)"
3583132,46,"My husband, wife or partner"
3583130,55,"Other person(s)"
3583137,44,"My husband, wife or partner"
3583628,44,"Child/children aged under 15"
3583552,42,"My husband, wife or partner"
3583627,44,"My husband, wife or partner"
3583553,42,"My husband, wife or partner"
3583628,43,"My husband, wife or partner"
3583629,40,"My husband, wife or partner"
3583231,38,"My husband, wife or partner"
3583139,69,"My husband, wife or partner"
3583554,42,"My husband, wife or partner"
3583146,42,"My husband, wife or partner"
3583642,48,"My husband, wife or partner"
3583238,61,"My husband, wife or partner"
3583568,48,"My husband, wife or partner"
3583148,42,"My husband, wife or partner"
3583569,43,"My husband, wife or partner"
3583569,44,"Child/children aged under 15"
3583626,48,"Other family / relative(s)"
3583222,52,"Other family / relative(s)"
3583552,43,"Other family / relative(s)"
3583229,39,"Other family / relative(s)"
3583567,41,"Other family / relative(s)"
3583568,49,"Other family / relative(s)"
3583245,38,"My husband, wife or partner"
3583643,45,"My husband, wife or partner"
3583155,40,"My husband, wife or partner"
3583247,40,"My husband, wife or partner"
3583584,44,"My husband, wife or partner"
3583245,39,"Other family / relative(s)"
3583245,40,"Other person(s)"
3583643,46,"Other person(s)"
3583162,42,"My husband, wife or partner"
3583644,53,"My husband, wife or partner"
3583645,40,"My husband, wife or partner"
3583585,46,"My husband, wife or partner"
3583155,41,"Other person(s)"
3583157,44,"Other family / relative(s)"
3583247,41,"Child/children aged 15 or older"
3583584,45,"Child/children aged 15 or older"
3583254,50,"Other family / relative(s)"
3583164,40,"Other family / relative(s)"
3583659,49,"My husband, wife or partner"
3583661,45,"My husband, wife or partner"
3583178,51,"My husband, wife or partner"
3583270,47,"My husband, wife or partner"
3583182,41,"My husband, wife or partner"
3583587,40,"My husband, wife or partner"
3583187,45,"My husband, wife or partner"
3583676,48,"My husband, wife or partner"
3583587,41,"Child/children aged under 15"
3583272,44,"My husband, wife or partner"
3583272,45,"Child/children aged under 15"
3583677,47,"My husband, wife or partner"
3583189,48,"My husband, wife or partner"
3583263,41,"Other family / relative(s)"
3583586,39,"Other family / relative(s)"
3583178,52,"Other person(s)"
3583676,49,"Other person(s)"
3583600,43,"Other person(s)"
3583274,37,"Other family / relative(s)"
3583692,47,"My husband, wife or partner"
3583205,50,"My husband, wife or partner"
3583297,41,"My husband, wife or partner"
3583279,41,"Other person(s)"
3583196,46,"Other person(s)"
3583198,38,"Other person(s)"
3583288,40,"Child/children aged 15 or older"
3583692,48,"Other person(s)"
3583604,42,"Child/children aged under 15"
3583695,50,"Child/children aged under 15"
3583617,46,"Child/children aged under 15"
3583603,47,"Other person(s)"
3583297,42,"Other family / relative(s)"
3583694,41,"My husband, wife or partner"
3583604,41,"My husband, wife or partner"
3583207,46,"My husband, wife or partner"
3583299,38,"My husband, wife or partner"
3583695,49,"My husband, wife or partner"
3583617,45,"My husband, wife or partner"
3583304,40,"My husband, wife or partner"
3583304,41,"Child/children aged 15 or older"
3583214,39,"Child/children aged 15 or older"
3583212,41,"My husband, wife or partner"
3583696,43,"My husband, wife or partner"
3583306,38,"My husband, wife or partner"
3583619,46,"My husband, wife or partner"
3583313,56,"My husband, wife or partner"
3583620,50,"Other family / relative(s)"
3583221,54,"Other person(s)"
3583710,42,"Other person(s)"
3583634,40,"Other family / relative(s)"
3583709,39,"Child/children aged under 15"
3583635,46,"Other family / relative(s)"
3583221,53,"My husband, wife or partner"
3583709,38,"My husband, wife or partner"
3583620,49,"My husband, wife or partner"
3583322,40,"My husband, wife or partner"
3583324,38,"My husband, wife or partner"
3583712,42,"My husband, wife or partner"
3583635,47,"Other person(s)"
3583331,40,"Other family / relative(s)"
3583329,58,"My husband, wife or partner"
3583230,38,"My husband, wife or partner"
3583726,40,"My husband, wife or partner"
3583636,50,"My husband, wife or partner"
3583232,60,"My husband, wife or partner"
3583728,44,"My husband, wife or partner"
3583230,39,"Child/children aged under 15"
3583728,45,"Other family / relative(s)"
3583239,59,"Other person(s)"
3583651,37,"Other person(s)"
3583652,41,"Other person(s)"
3583729,52,"Other person(s)"
3583347,43,"My husband, wife or partner"
3583637,46,"My husband, wife or partner"
3583246,39,"My husband, wife or partner"
3583653,39,"My husband, wife or partner"
3583744,45,"My husband, wife or partner"
3583667,41,"My husband, wife or partner"
3583356,39,"My husband, wife or partner"
3583248,38,"Other person(s)"
3583745,45,"Child/children aged under 15"
3583745,44,"My husband, wife or partner"
3583668,46,"My husband, wife or partner"
3583669,46,"My husband, wife or partner"
3583746,48,"My husband, wife or partner"
3583365,43,"My husband, wife or partner"
3583257,43,"My husband, wife or partner"
3583759,59,"My husband, wife or partner"
3583379,44,"My husband, wife or partner"
3583670,47,"My husband, wife or partner"
3583262,38,"My husband, wife or partner"
3583264,39,"My husband, wife or partner"
3583684,38,"Other person(s)"
3583264,41,"Other family / relative(s)"
3583760,41,"Child/children aged 15 or older"
3583264,40,"Child/children aged under 15"
3583760,42,"Other family / relative(s)"
3583390,41,"Other family / relative(s)"
3583271,46,"Other family / relative(s)"
3583271,47,"Other person(s)"
3583397,50,"Other family / relative(s)"
3583760,40,"My husband, wife or partner"
3583685,41,"My husband, wife or partner"
3583271,45,"My husband, wife or partner"
3583686,42,"My husband, wife or partner"
3583273,38,"My husband, wife or partner"
3583280,53,"My husband, wife or partner"
3583399,48,"My husband, wife or partner"
3583702,52,"Other person(s)"
3583404,42,"Other family / relative(s)"
3583287,42,"Other family / relative(s)"
3583703,43,"Other person(s)"
3583776,48,"Other person(s)"
3583704,46,"Other person(s)"
3583762,43,"My husband, wife or partner"
3583776,47,"My husband, wife or partner"
3583289,46,"My husband, wife or partner"
3583704,45,"My husband, wife or partner"
3583415,42,"My husband, wife or partner"
3583778,44,"My husband, wife or partner"
3583422,38,"My husband, wife or partner"
3583779,49,"My husband, wife or partner"
3583718,50,"My husband, wife or partner"
3583298,38,"My husband, wife or partner"
3583296,43,"Other person(s)"
3583779,50,"Child/children aged 15 or older"
3583424,39,"Other person(s)"
3583793,46,"Other family / relative(s)"
3583289,47,"Child/children aged under 15"
3583719,47,"My husband, wife or partner"
3583793,45,"Child/children aged under 15"
3583429,45,"My husband, wife or partner"
3583720,43,"Other family / relative(s)"
3583305,39,"My husband, wife or partner"
3583720,41,"My husband, wife or partner"
3583307,38,"My husband, wife or partner"
3583431,43,"My husband, wife or partner"
3583794,55,"My husband, wife or partner"
3583312,41,"My husband, wife or partner"
3583720,42,"Child/children aged under 15"
3583431,44,"Child/children aged under 15"
3583438,41,"My husband, wife or partner"
3583721,42,"Other person(s)"
3583323,38,"Other person(s)"
3583734,46,"Other person(s)"
3583795,50,"My husband, wife or partner"
3583330,39,"My husband, wife or partner"
3583796,47,"My husband, wife or partner"
3583332,39,"My husband, wife or partner"
3583449,41,"My husband, wife or partner"
3583735,44,"Child/children aged under 15"
3583735,43,"My husband, wife or partner"
3583454,43,"Child/children aged 15 or older"
3583454,42,"My husband, wife or partner"
3583454,44,"Other person(s)"
3583809,51,"My husband, wife or partner"
3583337,46,"My husband, wife or partner"
3583809,52,"Other person(s)"
3583736,41,"My husband, wife or partner"
3583751,44,"Other person(s)"
3583456,47,"My husband, wife or partner"
3583812,47,"My husband, wife or partner"
